date,IFB,ifb.r
7/24/2016,792.9,-0.088244569
7/25/2016,796.6,0.465556047
7/26/2016,796.5,-0.01255414
7/27/2016,799.7,0.400952799
7/31/2016,801.5,0.224831471
8/1/2016,799.7,-0.224831471
8/2/2016,808.1,1.04491559
8/3/2016,813.9,0.715169509
8/6/2016,815.1,0.147329677
8/7/2016,817,0.232828976
8/8/2016,815.2,-0.220561295
8/9/2016,818.1,0.355109661
8/10/2016,817.1,-0.122309213
8/13/2016,816,-0.134713143
8/14/2016,816.3,0.036757949
8/15/2016,813.5,-0.34360078
8/16/2016,809,-0.55470096
8/17/2016,803.7,-0.657285184
8/20/2016,800.3,-0.423940785
8/21/2016,805.3,0.622822143
8/22/2016,802.6,-0.335842097
8/23/2016,800.7,-0.237011275
8/24/2016,798.6,-0.262615045
8/27/2016,808.3,1.207308211
